team,confederation,fifa_rank,host,group,rank_strength,host_boost,confed_bonus,oracle_rating,attack_index,defense_index,momentum_index
Mexico,CONCACAF,15,1,A,86.0,3.0,1.0,77.1,79.2,77.28,83.78
Czech Republic,UEFA,41,0,A,60.0,0.0,3.0,54.0,55.8,54.9,58.5
South Korea,AFC,25,0,A,76.0,0.0,1.0,65.6,69.0,67.58,73.4
South Africa,CAF,60,0,A,41.0,0.0,1.5,36.35,37.8,37.13,39.84
Canada,CONCACAF,30,1,B,71.0,3.0,1.0,64.35,65.7,64.08,69.34
Bosnia and Herzegovina,UEFA,65,0,B,36.0,0.0,3.0,33.6,34.2,33.78,35.4
Qatar,AFC,55,0,B,46.0,0.0,1.0,40.1,42.0,41.18,44.52
Switzerland,UEFA,19,0,B,82.0,0.0,3.0,72.7,75.6,74.26,79.68
Brazil,CONMEBOL,6,0,C,95.0,0.0,3.0,83.75,87.3,85.7,92.19
Haiti,CONCACAF,83,0,C,18.000000000000004,0.0,1.0,16.3,16.8,16.54,17.58
Morocco,CAF,8,0,C,93.0,0.0,1.5,80.55,84.6,82.89,89.89
Scotland,UEFA,43,0,C,58.00000000000001,0.0,3.0,52.3,54.0,53.14,56.58
United States,CONCACAF,16,1,D,85.0,3.0,1.0,76.25,78.3,76.4,82.81
Australia,AFC,27,0,D,74.0,0.0,1.0,63.9,67.2,65.82,71.47
Paraguay,CONMEBOL,40,0,D,61.0,0.0,3.0,54.85,56.7,55.78,59.46
Turkey,UEFA,22,0,D,79.0,0.0,3.0,70.15,72.9,71.62,76.79
Ivory Coast,CAF,34,0,E,67.0,0.0,1.5,58.45,61.2,60.01,64.86
Curacao,CONCACAF,82,0,E,18.999999999999993,0.0,1.0,17.15,17.7,17.42,18.54
Ecuador,CONMEBOL,23,0,E,78.0,0.0,3.0,69.3,72.0,70.74,75.82
Germany,UEFA,10,0,E,91.0,0.0,3.0,80.35,83.7,82.18,88.34
Japan,AFC,18,0,F,83.0,0.0,1.0,71.55,75.3,73.74,80.14
Netherlands,UEFA,7,0,F,94.0,0.0,3.0,82.9,86.4,84.82,91.22
Sweden,UEFA,38,0,F,63.0,0.0,3.0,56.55,58.5,57.54,61.39
Tunisia,CAF,44,0,F,57.00000000000001,0.0,1.5,49.95,52.2,51.21,55.24
Belgium,UEFA,9,0,G,92.0,0.0,3.0,81.2,84.6,83.06,89.3
Egypt,CAF,29,0,G,72.0,0.0,1.5,62.7,65.7,64.41,69.68
Iran,AFC,21,0,G,80.0,0.0,1.0,69.0,72.6,71.1,77.25
New Zealand,OFC,85,0,G,16.000000000000004,0.0,0.0,13.6,14.4,14.08,15.4
Cape Verde,CAF,69,0,H,31.999999999999996,0.0,1.5,28.7,29.7,29.21,31.17
Saudi Arabia,AFC,61,0,H,40.0,0.0,1.0,35.0,36.6,35.9,38.75
Spain,UEFA,2,0,H,99.0,0.0,3.0,87.15,90.9,89.22,96.04
Uruguay,CONMEBOL,17,0,H,84.0,0.0,3.0,74.4,77.4,76.02,81.6
France,UEFA,1,0,I,100.0,0.0,3.0,88.0,91.8,90.1,97.0
Iraq,AFC,57,0,I,43.99999999999999,0.0,1.0,38.4,40.2,39.42,42.6
Norway,UEFA,31,0,I,70.0,0.0,3.0,62.5,64.8,63.7,68.12
Senegal,CAF,14,0,I,87.0,0.0,1.5,75.45,79.2,77.61,84.11
Algeria,CAF,28,0,J,73.0,0.0,1.5,63.55,66.6,65.29,70.64
Argentina,CONMEBOL,3,0,J,98.0,0.0,3.0,86.3,90.0,88.34,95.08
Austria,UEFA,24,0,J,77.0,0.0,3.0,68.45,71.1,69.86,74.86
Jordan,AFC,63,0,J,38.0,0.0,1.0,33.3,34.8,34.14,36.83
Colombia,CONMEBOL,13,0,K,88.0,0.0,3.0,77.8,81.0,79.54,85.45
DR Congo,CAF,46,0,K,55.00000000000001,0.0,1.5,48.25,50.4,49.45,53.31
Portugal,UEFA,5,0,K,96.0,0.0,3.0,84.6,88.2,86.58,93.15
Uzbekistan,AFC,50,0,K,51.0,0.0,1.0,44.35,46.5,45.58,49.34
Croatia,UEFA,11,0,L,90.0,0.0,3.0,79.5,82.8,81.3,87.38
England,UEFA,4,0,L,97.0,0.0,3.0,85.45,89.1,87.46,94.11
Ghana,CAF,74,0,L,27.0,0.0,1.5,24.45,25.2,24.81,26.36
Panama,CONCACAF,33,0,L,68.0,0.0,1.0,58.8,61.8,60.54,65.7
